id,nombre,p_compra,p_venta,stock
1,Laptop_Lenovo_IdeaPad,1650,1999,12
2,Laptop_HP_Pavilion,2100,2499,8
3,Laptop_ASUS_VivoBook,1850,2199,10
4,Monitor_LG_24p,520,699,15
5,Monitor_Samsung_27p,780,999,9
6,Teclado_Redragon,150,229,25
7,Teclado_Logitech,95,149,30
8,Mouse_Logitech_M185,45,69,40
9,Mouse_Razer_Gamer,180,269,14
10,Audifonos_Sony,220,329,18
11,Audifonos_JBL,160,239,22
12,Parlante_JBL,280,399,11
13,Webcam_Logitech,280,379,13
14,Microfono_HyperX,420,549,7
15,SSD_Kingston_480GB,180,259,20
16,SSD_Samsung_1TB,350,499,16
17,Disco_WD_1TB,210,299,17
18,RAM_Kingston_8GB,95,139,28
19,RAM_Kingston_16GB,175,249,21
20,USB_SanDisk_64GB,35,59,45
21,USB_SanDisk_128GB,55,89,32
22,MicroSD_Samsung_128,48,79,26
23,Router_TPLink_AC1200,130,189,19
24,Router_Xiaomi_AX3000,240,329,10
25,Switch_TPLink_8p,75,119,24
26,Cable_HDMI_2m,25,45,50
27,Cable_USBC_1m,18,35,60
28,Cargador_USBC_65W,85,129,27
29,PowerBank_20000mAh,110,169,23
30,Hub_USBC_7en1,95,149,18
31,Adaptador_Bluetooth,22,39,35
32,Adaptador_WiFi_USB,45,69,29
33,Impresora_Epson,620,799,6
34,Impresora_HP_DeskJet,310,399,9
35,Tablet_Samsung,850,1099,7
36,Tablet_Lenovo,620,799,10
37,Smartwatch_Xiaomi,220,329,13
38,Smartwatch_Samsung,650,799,5
39,Camara_Seguridad,150,219,16
40,Camara_IP_Xiaomi,135,199,20
41,UPS_Forza_1000VA,290,399,8
42,Regleta_WiFi,65,99,17
43,Lector_Tarjetas_USB,20,35,31
44,Control_Xbox,260,349,12
45,Control_PlayStation,290,399,9
46,Base_Laptop,75,119,15
47,Mochila_Laptop,90,149,18
48,Soporte_Monitor,120,179,11
49,Lampara_LED,55,89,22
50,Mini_PC_Intel,1250,1499,6
51,Pepe_p,200,240,40
52,pepe,jd,df,df
53,df,34,60,80
